RestaurantID,CategoryID,TimeID,PaymentMethod,TransportMode,TotalRevenue,TotalDeliveryTime,NumberOfDeliveries
1,0,985,Satispay,Scooter,70.4,25,5
4,1,730,Cash,Car,121.8,31,18
2,1,428,Satispay,Scooter,34.5,13,3
2,1,703,Satispay,Bike,82.5,32,12
3,1,428,Bancomat,Car,69.8,26,8
4,1,481,Satispay,Scooter,197.1,48,23
4,1,558,Cash,Scooter,24.7,9,3
3,1,648,Credit card,Car,131.3,34,7
2,1,474,Satispay,Car,182.0,54,12
1,0,183,Satispay,Bike,147.0,47,23
0,4,720,Credit card,Car,147.2,52,24
0,4,72,Bancomat,Car,162.0,57,18
1,0,508,Bancomat,Scooter,31.4,11,5
3,1,207,Cash,Scooter,33.4,14,5
2,1,26,Credit card,Car,43.8,13,7
2,1,639,Credit card,Car,21.0,12,4
4,1,236,Bancomat,Bike,80.6,24,5
1,0,54,Credit card,Car,17.4,8,2
2,1,92,Cash,Car,169.8,52,13
4,1,43,Credit card,Car,81.1,25,9
0,4,58,Satispay,Scooter,25.1,12,4
1,0,39,Cash,Scooter,185.0,55,24
0,4,3,Satispay,Car,133.8,37,9
1,0,448,Credit card,Car,49.3,15,4
1,0,840,Satispay,Scooter,108.2,28,18
2,1,556,Satispay,Bike,60.4,21,5
0,4,786,Credit card,Car,137.7,44,8
3,1,587,Credit card,Car,133.7,44,11
2,1,43,Satispay,Scooter,130.3,33,9
0,4,691,Bancomat,Car,53.5,18,5
3,1,338,Bancomat,Car,42.8,14,7
2,1,711,Satispay,Scooter,83.0,21,9
0,4,335,Satispay,Bike,30.8,14,4
2,1,659,Satispay,Scooter,37.3,17,6
0,4,332,Satispay,Car,99.0,31,13
1,0,990,Satispay,Bike,87.5,27,5
2,1,953,Bancomat,Car,121.7,35,15
4,1,756,Cash,Scooter,62.2,22,10
2,1,425,Credit card,Car,133.3,47,16
2,1,648,Cash,Bike,197.7,67,23
0,4,881,Bancomat,Scooter,174.4,48,21
3,1,640,Satispay,Scooter,37.4,16,4
0,4,233,Bancomat,Car,87.4,28,11
3,1,321,Cash,Bike,28.1,11,3
0,4,409,Credit card,Car,131.4,45,13
1,0,950,Cash,Scooter,125.9,35,20
4,1,210,Cash,Bike,63.1,24,11
3,1,922,Credit card,Scooter,13.7,8,1
0,4,911,Cash,Car,118.8,36,9
0,4,4,Cash,Scooter,190.8,67,12
0,4,551,Cash,Bike,17.7,10,1
2,1,280,Bancomat,Scooter,65.4,24,9
3,1,169,Cash,Scooter,163.0,41,10
1,0,470,Credit card,Car,10.6,8,2
1,0,833,Credit card,Car,70.9,20,5
3,1,711,Satispay,Bike,18.4,10,1
2,1,16,Cash,Bike,118.9,28,6
4,1,832,Cash,Bike,121.1,39,19
0,4,572,Satispay,Scooter,65.2,26,9
3,1,207,Cash,Car,16.5,8,2
4,1,968,Cash,Scooter,157.1,38,16
1,0,729,Bancomat,Scooter,114.2,41,13
4,1,274,Cash,Scooter,114.9,28,18
2,1,317,Credit card,Car,165.0,42,24
4,1,827,Satispay,Scooter,83.9,22,5
1,0,578,Credit card,Car,157.7,45,19
2,1,495,Cash,Scooter,106.2,32,17
1,0,448,Cash,Scooter,129.7,46,15
2,1,279,Credit card,Car,196.2,57,27
3,1,916,Satispay,Bike,122.9,29,11
1,0,155,Cash,Car,50.6,18,5
2,1,707,Credit card,Car,114.4,37,16
3,1,251,Satispay,Car,63.9,24,10
1,0,832,Bancomat,Scooter,172.8,61,22
1,0,641,Bancomat,Bike,138.8,51,7
1,0,13,Bancomat,Car,61.2,24,10
1,0,806,Satispay,Scooter,145.8,46,24
2,1,156,Credit card,Car,132.6,45,8
3,1,443,Bancomat,Car,51.0,16,8
0,4,352,Cash,Scooter,33.7,16,4
3,1,870,Bancomat,Car,129.3,36,16
1,0,426,Satispay,Car,29.8,12,5
2,1,507,Credit card,Car,86.9,30,15
2,1,213,Satispay,Car,33.2,16,6
4,1,440,Satispay,Car,33.3,13,4
2,1,125,Cash,Car,169.8,45,23
1,0,748,Bancomat,Bike,93.0,32,9
2,1,618,Credit card,Bike,49.9,20,4
3,1,344,Bancomat,Bike,47.9,15,5
4,1,966,Bancomat,Bike,58.3,17,10
2,1,985,Credit card,Car,182.3,62,24
0,4,432,Credit card,Car,86.4,26,5
3,1,252,Credit card,Car,17.0,8,2
4,1,93,Bancomat,Bike,102.8,37,16
2,1,369,Satispay,Bike,85.1,28,14
2,1,32,Cash,Bike,54.5,21,4
1,0,86,Cash,Bike,185.6,56,11
3,1,72,Cash,Car,146.8,45,23
1,0,886,Cash,Bike,38.6,17,4
4,1,890,Credit card,Car,63.8,25,4
4,1,740,Satispay,Scooter,92.5,31,8
1,0,377,Satispay,Bike,41.8,15,7
0,4,915,Cash,Car,125.5,41,19
3,1,578,Satispay,Car,43.8,18,7
4,1,205,Satispay,Car,44.1,18,3
3,1,687,Satispay,Scooter,132.7,45,16
1,0,999,Bancomat,Car,141.4,39,17
1,0,915,Credit card,Car,84.4,22,10
0,4,178,Satispay,Bike,100.9,32,9
0,4,525,Cash,Bike,183.5,44,23
4,1,986,Satispay,Bike,167.5,39,19
4,1,355,Bancomat,Scooter,35.8,12,2
2,1,943,Cash,Scooter,196.2,45,25
0,4,873,Cash,Bike,133.5,45,13
4,1,865,Satispay,Bike,95.8,30,10
1,0,495,Cash,Scooter,176.1,62,20
4,1,136,Credit card,Scooter,175.0,51,20
4,1,256,Bancomat,Car,133.5,44,10
3,1,439,Satispay,Scooter,77.7,20,4
4,1,320,Cash,Car,111.7,34,16
3,1,947,Cash,Bike,138.5,33,7
1,0,217,Bancomat,Scooter,69.2,26,8
1,0,79,Credit card,Car,19.2,11,2
0,4,793,Cash,Bike,179.8,50,25
0,4,802,Bancomat,Scooter,14.3,8,2
4,1,406,Satispay,Scooter,93.0,35,14
0,4,373,Satispay,Scooter,12.4,7,1
0,4,953,Cash,Scooter,102.2,27,15
1,0,112,Cash,Bike,55.2,22,7
3,1,735,Satispay,Scooter,37.9,12,7
2,1,530,Bancomat,Bike,191.4,64,19
4,1,415,Satispay,Bike,146.2,43,16
4,1,650,Satispay,Bike,78.1,26,12
4,1,402,Bancomat,Car,96.5,37,5
1,0,356,Satispay,Scooter,44.1,13,5
3,1,341,Satispay,Scooter,54.8,23,5
4,1,658,Satispay,Bike,128.7,32,13
1,0,602,Cash,Car,182.2,52,24
4,1,808,Cash,Bike,189.4,67,30
3,1,575,Satispay,Bike,161.7,47,27
3,1,797,Bancomat,Scooter,195.2,47,28
1,0,220,Satispay,Bike,83.4,22,5
1,0,967,Cash,Bike,91.5,35,14
0,4,901,Satispay,Car,179.0,62,10
2,1,59,Credit card,Car,11.7,8,1
3,1,168,Credit card,Car,183.8,62,21
1,0,249,Bancomat,Car,155.9,43,20
0,4,654,Satispay,Bike,160.8,39,9
4,1,932,Satispay,Car,35.3,13,3
2,1,229,Satispay,Scooter,80.0,29,14
0,4,304,Bancomat,Bike,180.2,57,10
4,1,232,Cash,Car,18.9,10,1
2,1,412,Bancomat,Scooter,181.4,53,26
1,0,316,Credit card,Car,133.7,40,14
1,0,84,Satispay,Scooter,126.4,39,7
4,1,355,Cash,Car,59.3,24,10
1,0,987,Satispay,Bike,194.1,65,24
0,4,484,Satispay,Scooter,30.2,13,3
0,4,955,Credit card,Car,180.2,57,10
0,4,470,Cash,Car,13.0,8,2
1,0,492,Satispay,Scooter,43.2,16,8
0,4,233,Cash,Scooter,103.5,30,15
4,1,284,Satispay,Bike,68.3,20,11
1,0,7,Credit card,Car,192.5,56,33
4,1,857,Satispay,Scooter,141.3,33,11
2,1,329,Bancomat,Bike,74.2,21,11
3,1,913,Satispay,Scooter,106.3,29,11
0,4,553,Cash,Scooter,29.3,13,4
4,1,660,Bancomat,Car,125.2,40,14
0,4,423,Credit card,Scooter,103.8,32,7
2,1,719,Cash,Bike,163.7,37,21
1,0,159,Cash,Bike,62.7,24,6
2,1,867,Bancomat,Bike,197.6,50,22
0,4,526,Satispay,Bike,73.5,21,6
2,1,435,Satispay,Car,13.7,7,2
0,4,408,Cash,Scooter,164.9,45,18
2,1,741,Bancomat,Car,10.8,8,1
2,1,143,Bancomat,Scooter,27.6,13,2
1,0,337,Cash,Bike,112.6,39,6
0,4,266,Satispay,Bike,18.1,8,2
2,1,663,Satispay,Car,134.3,35,9
3,1,257,Credit card,Bike,18.6,9,4
4,1,664,Credit card,Car,89.1,33,15
1,0,997,Satispay,Bike,20.9,10,4
4,1,231,Satispay,Bike,114.1,35,8
0,4,96,Satispay,Scooter,27.5,10,5
0,4,90,Bancomat,Scooter,87.5,34,6
2,1,386,Satispay,Bike,86.9,27,15
4,1,551,Cash,Bike,114.1,38,16
1,0,108,Credit card,Car,87.9,30,6
4,1,498,Cash,Scooter,23.9,11,3
2,1,400,Cash,Bike,98.1,29,15
2,1,613,Credit card,Car,138.3,38,7
3,1,115,Cash,Car,143.6,51,10
4,1,741,Satispay,Scooter,119.1,31,14
3,1,766,Satispay,Scooter,154.6,46,14
3,1,897,Satispay,Bike,169.2,42,20
0,4,726,Bancomat,Scooter,125.4,46,19
4,1,995,Bancomat,Scooter,163.5,43,12
2,1,105,Credit card,Scooter,92.3,31,11
2,1,573,Cash,Scooter,95.1,34,7
3,1,684,Credit card,Car,123.8,41,7
4,1,12,Cash,Scooter,83.3,27,12
1,0,391,Satispay,Scooter,84.5,32,6
4,1,75,Bancomat,Scooter,150.5,48,12
0,4,764,Cash,Bike,141.0,52,16
1,0,743,Bancomat,Bike,188.0,66,19
0,4,818,Cash,Car,174.6,57,22
3,1,204,Bancomat,Scooter,57.5,16,7
0,4,7,Satispay,Bike,62.9,19,8
1,0,866,Credit card,Scooter,120.9,35,21
0,4,133,Satispay,Bike,132.1,33,18
1,0,33,Credit card,Car,151.7,47,12
3,1,756,Satispay,Bike,117.9,42,14
3,1,919,Credit card,Scooter,86.1,27,8
0,4,180,Credit card,Car,175.2,46,16
0,4,643,Cash,Scooter,86.6,26,5
2,1,454,Cash,Scooter,189.4,42,25
0,4,162,Satispay,Bike,180.1,41,22
1,0,992,Cash,Bike,24.4,12,2
4,1,480,Satispay,Bike,116.6,29,20
2,1,217,Bancomat,Scooter,47.6,15,7
1,0,459,Satispay,Scooter,95.4,31,8
2,1,710,Credit card,Scooter,47.5,20,5
2,1,174,Cash,Scooter,61.0,19,4
4,1,414,Bancomat,Car,138.0,48,10
2,1,31,Bancomat,Scooter,170.3,58,24
2,1,128,Credit card,Car,112.7,32,9
3,1,104,Satispay,Scooter,65.0,22,6
1,0,236,Credit card,Car,164.5,53,13
3,1,533,Cash,Scooter,145.6,42,24
0,4,516,Cash,Car,152.5,54,17
3,1,115,Satispay,Car,106.7,30,16
0,4,241,Cash,Bike,125.7,36,21
1,0,77,Cash,Car,81.1,30,6
3,1,33,Bancomat,Scooter,195.9,57,18
2,1,246,Credit card,Scooter,66.9,18,12
3,1,290,Satispay,Bike,32.3,15,5
3,1,111,Credit card,Car,145.8,34,20
0,4,386,Satispay,Bike,171.8,39,9
0,4,644,Satispay,Scooter,84.1,33,14
1,0,967,Credit card,Car,184.1,60,23
1,0,773,Satispay,Car,155.1,49,8
3,1,603,Bancomat,Scooter,184.4,41,18
0,4,461,Cash,Scooter,66.5,27,4
1,0,580,Credit card,Car,177.7,49,30
3,1,602,Bancomat,Scooter,76.5,29,8
2,1,356,Credit card,Car,52.8,19,9
1,0,67,Satispay,Bike,88.6,29,13
3,1,133,Credit card,Car,16.8,10,3
2,1,923,Cash,Bike,143.2,37,10
4,1,847,Cash,Car,15.0,10,2
4,1,751,Credit card,Car,19.4,10,2
0,4,505,Satispay,Car,156.5,36,21
1,0,87,Satispay,Scooter,74.3,29,12
4,1,248,Cash,Scooter,74.9,22,9
3,1,928,Satispay,Bike,192.6,59,26
4,1,987,Credit card,Scooter,110.7,32,11
4,1,719,Cash,Car,187.2,64,24
0,4,624,Cash,Scooter,55.7,22,3
1,0,830,Credit card,Car,162.7,45,12
2,1,381,Bancomat,Car,39.6,18,7
3,1,570,Cash,Car,60.4,20,6
3,1,836,Cash,Bike,165.3,51,28
1,0,758,Cash,Bike,42.5,13,5
1,0,455,Cash,Bike,40.6,15,7
1,0,675,Bancomat,Car,165.3,47,11
3,1,590,Bancomat,Car,157.0,44,23
2,1,651,Cash,Scooter,139.3,38,10
0,4,970,Satispay,Car,89.6,34,9
1,0,85,Satispay,Bike,44.9,13,7
4,1,319,Credit card,Car,195.8,67,13
4,1,440,Satispay,Scooter,18.1,11,4
0,4,60,Credit card,Car,87.0,29,10
4,1,578,Credit card,Bike,76.1,24,8
0,4,34,Satispay,Scooter,118.1,38,10
4,1,428,Cash,Scooter,11.1,8,2
1,0,678,Cash,Car,14.5,9,2
0,4,908,Satispay,Scooter,105.4,40,10
1,0,241,Satispay,Scooter,191.4,52,11
3,1,917,Satispay,Car,61.4,25,7
1,0,210,Bancomat,Bike,120.2,35,12
3,1,743,Cash,Car,18.5,9,1
4,1,337,Satispay,Bike,32.6,11,3
4,1,198,Cash,Car,96.0,35,8
4,1,876,Cash,Scooter,130.7,35,10
2,1,680,Satispay,Scooter,62.5,25,11
0,4,646,Bancomat,Car,28.1,11,3
3,1,741,Bancomat,Scooter,117.9,30,10
3,1,706,Satispay,Scooter,33.5,12,2
1,0,601,Satispay,Scooter,98.9,36,13
1,0,400,Bancomat,Scooter,138.0,44,11
0,4,595,Bancomat,Bike,148.0,47,9
1,0,938,Bancomat,Scooter,82.7,31,11
2,1,771,Cash,Scooter,160.4,41,10
2,1,0,Credit card,Bike,116.3,41,12
2,1,692,Credit card,Car,155.2,44,14
4,1,503,Bancomat,Bike,10.5,8,2
1,0,399,Satispay,Scooter,116.4,33,13
2,1,90,Bancomat,Scooter,51.4,16,3
1,0,799,Bancomat,Car,194.5,50,10
2,1,195,Credit card,Car,173.5,56,23
2,1,346,Bancomat,Scooter,33.2,13,2
3,1,797,Credit card,Car,182.6,57,17
0,4,248,Bancomat,Scooter,181.4,42,21
4,1,398,Satispay,Bike,45.9,17,3
3,1,672,Satispay,Scooter,70.4,22,8
0,4,576,Satispay,Scooter,110.7,33,8
3,1,267,Bancomat,Bike,116.1,33,16
1,0,348,Satispay,Scooter,148.3,34,19
3,1,740,Cash,Car,75.1,24,13
2,1,253,Cash,Bike,81.2,31,7
4,1,582,Satispay,Bike,149.4,34,11
0,4,331,Satispay,Bike,170.6,46,9
2,1,950,Bancomat,Scooter,34.1,11,2
1,0,698,Credit card,Car,103.8,35,10
0,4,464,Bancomat,Scooter,116.7,42,10
0,4,384,Cash,Scooter,12.2,9,2
1,0,165,Credit card,Car,182.5,61,26
1,0,748,Cash,Scooter,156.6,42,21
2,1,148,Cash,Bike,39.8,16,7
1,0,333,Satispay,Bike,31.5,13,2
1,0,442,Credit card,Car,94.6,29,13
3,1,822,Cash,Scooter,166.5,43,13
2,1,899,Cash,Car,133.9,37,23
2,1,590,Bancomat,Scooter,94.4,33,16
0,4,959,Cash,Car,110.2,29,18
4,1,778,Satispay,Bike,182.4,62,13
0,4,671,Satispay,Scooter,91.3,28,5
0,4,452,Credit card,Car,139.8,33,9
2,1,292,Credit card,Car,179.0,52,18
2,1,908,Cash,Scooter,189.8,61,13
2,1,622,Satispay,Car,94.9,25,10
1,0,799,Cash,Scooter,176.3,51,15
3,1,131,Satispay,Bike,54.8,23,6
4,1,26,Cash,Scooter,198.7,57,27
4,1,879,Satispay,Bike,121.7,44,11
0,4,608,Cash,Scooter,65.7,20,8
3,1,76,Cash,Scooter,63.3,22,9
2,1,45,Cash,Scooter,192.0,43,19
3,1,730,Satispay,Bike,132.0,39,16
4,1,250,Bancomat,Scooter,53.3,16,3
3,1,895,Cash,Car,182.5,65,12
4,1,945,Satispay,Bike,85.4,31,7
1,0,900,Bancomat,Bike,86.7,29,8
3,1,317,Bancomat,Bike,197.1,45,14
4,1,553,Credit card,Car,139.2,46,16
3,1,781,Cash,Car,178.6,58,16
1,0,816,Bancomat,Car,131.7,43,18
1,0,463,Satispay,Scooter,109.7,26,9
0,4,678,Bancomat,Car,163.7,48,11
3,1,400,Cash,Bike,19.1,11,3
1,0,36,Satispay,Bike,161.7,40,27
0,4,841,Bancomat,Scooter,45.6,15,7
1,0,681,Credit card,Car,56.7,22,4
3,1,216,Cash,Bike,57.4,23,6
3,1,504,Satispay,Bike,156.7,57,9
1,0,574,Credit card,Car,135.7,42,9
4,1,454,Bancomat,Car,93.8,34,15
1,0,402,Bancomat,Bike,143.6,34,21
3,1,1,Bancomat,Car,22.8,9,2
3,1,568,Cash,Car,193.7,43,20
3,1,587,Satispay,Car,79.0,22,9
4,1,583,Cash,Bike,57.4,22,5
0,4,23,Cash,Car,171.9,41,9
1,0,455,Satispay,Scooter,128.4,39,20
4,1,656,Satispay,Bike,143.1,36,21
2,1,883,Cash,Car,68.8,18,6
4,1,97,Credit card,Car,196.1,50,15
3,1,39,Cash,Bike,22.1,10,2
1,0,144,Credit card,Car,161.7,46,14
3,1,874,Cash,Bike,44.4,13,8
3,1,101,Credit card,Bike,165.4,55,12
2,1,614,Credit card,Car,70.2,27,4
4,1,54,Bancomat,Bike,45.5,18,4
3,1,28,Satispay,Scooter,117.7,34,6
2,1,258,Cash,Scooter,148.4,34,16
1,0,770,Cash,Bike,179.8,53,17
2,1,589,Bancomat,Car,72.3,26,5
0,4,647,Bancomat,Bike,33.8,11,4
0,4,514,Satispay,Scooter,67.8,25,6
2,1,353,Bancomat,Car,117.4,29,10
3,1,572,Credit card,Car,68.5,24,9
3,1,487,Satispay,Car,12.1,9,1
2,1,677,Bancomat,Car,91.2,34,6
3,1,637,Satispay,Bike,153.2,38,12
3,1,692,Bancomat,Bike,168.3,51,11
4,1,309,Credit card,Scooter,63.4,22,11
1,0,227,Satispay,Car,79.5,23,9
0,4,521,Cash,Scooter,180.6,62,24
0,4,931,Satispay,Scooter,190.6,48,24
1,0,496,Cash,Scooter,62.7,20,10
4,1,689,Satispay,Car,107.7,28,7
4,1,90,Bancomat,Car,147.2,46,17
2,1,659,Bancomat,Bike,78.0,21,10
0,4,459,Cash,Scooter,147.6,53,18
2,1,97,Cash,Bike,98.1,37,14
0,4,287,Bancomat,Car,180.3,60,30
3,1,52,Cash,Scooter,54.1,17,9
1,0,472,Bancomat,Scooter,134.8,37,16
0,4,117,Cash,Scooter,101.0,36,8
0,4,70,Bancomat,Bike,24.2,10,2
0,4,907,Credit card,Car,104.2,29,8
0,4,664,Satispay,Bike,105.1,27,13
2,1,849,Satispay,Scooter,152.1,45,16
4,1,43,Satispay,Bike,183.2,41,10
2,1,570,Bancomat,Car,91.8,33,14
4,1,465,Credit card,Bike,180.5,44,14
0,4,157,Cash,Bike,55.1,20,9
4,1,732,Cash,Bike,150.2,47,22
1,0,384,Bancomat,Scooter,53.1,15,4
2,1,885,Bancomat,Bike,172.1,45,15
0,4,327,Bancomat,Bike,146.2,34,12
0,4,592,Bancomat,Scooter,185.2,52,24
4,1,808,Satispay,Scooter,151.1,42,18
1,0,616,Credit card,Car,62.4,19,4
2,1,325,Cash,Car,59.6,24,5
1,0,931,Credit card,Car,96.0,24,14
2,1,475,Satispay,Scooter,17.6,10,2
0,4,92,Cash,Car,110.0,36,10
3,1,121,Bancomat,Scooter,76.8,24,4
4,1,618,Credit card,Car,154.1,52,15
2,1,320,Satispay,Car,34.8,15,2
3,1,937,Cash,Car,171.2,55,14
3,1,869,Bancomat,Bike,153.8,51,14
3,1,379,Bancomat,Car,187.2,62,15
4,1,843,Bancomat,Bike,20.5,10,4
3,1,862,Satispay,Car,178.7,60,17
2,1,749,Satispay,Scooter,140.2,51,10
4,1,368,Credit card,Scooter,118.8,38,14
4,1,490,Cash,Bike,111.7,36,16
2,1,834,Cash,Bike,132.2,31,10
4,1,365,Cash,Car,143.3,34,11
0,4,526,Cash,Scooter,78.1,30,8
4,1,456,Credit card,Car,186.6,45,28
2,1,213,Bancomat,Car,174.3,54,28
0,4,462,Bancomat,Car,38.2,14,5
2,1,993,Bancomat,Bike,140.4,45,13
3,1,87,Cash,Scooter,145.4,46,19
2,1,864,Credit card,Scooter,165.9,45,13
0,4,232,Credit card,Bike,110.2,37,6
2,1,924,Satispay,Bike,123.1,39,21
3,1,845,Bancomat,Car,25.6,11,3
0,4,921,Cash,Bike,155.1,53,14
2,1,494,Cash,Bike,14.7,8,3
1,0,402,Bancomat,Scooter,183.8,64,15
2,1,367,Credit card,Car,78.9,21,7
1,0,758,Cash,Car,51.6,15,5
3,1,918,Credit card,Car,107.4,38,15
1,0,693,Credit card,Car,140.2,40,10
3,1,253,Cash,Car,75.7,28,9
4,1,989,Credit card,Car,35.3,15,4
2,1,136,Satispay,Scooter,167.0,54,20
1,0,143,Bancomat,Car,34.3,13,5
1,0,993,Satispay,Car,16.8,10,3
4,1,974,Bancomat,Car,190.6,67,22
1,0,708,Bancomat,Scooter,168.6,47,16
2,1,65,Satispay,Bike,142.5,37,14
2,1,590,Bancomat,Car,87.0,31,11
3,1,930,Bancomat,Bike,57.5,20,10
3,1,122,Satispay,Scooter,59.2,21,4
3,1,380,Credit card,Car,187.8,47,30
2,1,533,Satispay,Scooter,91.8,29,10
3,1,544,Bancomat,Scooter,165.0,55,23
4,1,829,Satispay,Bike,72.7,24,12
2,1,649,Bancomat,Bike,75.4,23,5
2,1,519,Bancomat,Scooter,103.7,25,6
0,4,928,Cash,Car,46.1,15,8
3,1,651,Satispay,Bike,185.3,59,30
3,1,6,Cash,Bike,36.5,17,2
4,1,460,Satispay,Scooter,159.0,37,10
0,4,964,Bancomat,Scooter,131.0,44,11
2,1,596,Satispay,Scooter,44.3,13,4
0,4,833,Bancomat,Scooter,117.1,34,9
4,1,61,Credit card,Scooter,191.5,50,14
0,4,759,Satispay,Bike,19.6,9,2
4,1,106,Bancomat,Car,58.0,18,4
4,1,347,Cash,Bike,90.5,30,8
1,0,664,Satispay,Scooter,18.6,8,4
1,0,947,Cash,Scooter,84.5,24,15
2,1,511,Cash,Car,140.1,51,13
2,1,798,Cash,Scooter,191.4,45,28
2,1,71,Satispay,Bike,11.6,8,1
2,1,150,Cash,Car,77.0,20,8
1,0,938,Credit card,Car,57.9,19,6
0,4,145,Cash,Bike,14.8,9,1
0,4,320,Bancomat,Bike,56.4,19,3
4,1,636,Bancomat,Bike,54.1,18,8
0,4,882,Satispay,Scooter,88.8,32,7
3,1,498,Satispay,Scooter,27.7,11,4
1,0,40,Cash,Car,88.8,27,14
0,4,44,Satispay,Scooter,77.9,29,10
3,1,439,Cash,Scooter,113.7,35,7
4,1,887,Cash,Scooter,182.5,47,24
0,4,14,Credit card,Car,155.6,42,25
3,1,107,Cash,Scooter,152.4,43,10
3,1,471,Bancomat,Car,70.3,24,6
4,1,380,Bancomat,Bike,47.3,14,5
3,1,866,Credit card,Bike,191.1,44,19
2,1,123,Credit card,Bike,90.3,23,11
3,1,279,Satispay,Scooter,161.3,44,18
1,0,551,Cash,Car,180.1,48,17
4,1,767,Cash,Scooter,157.2,47,25
2,1,463,Bancomat,Bike,75.2,27,6
4,1,936,Bancomat,Car,185.4,52,14
4,1,77,Bancomat,Car,149.9,36,18
2,1,435,Credit card,Car,26.6,13,5
1,0,561,Cash,Scooter,65.8,21,5
2,1,319,Bancomat,Car,90.9,29,11
3,1,84,Cash,Scooter,21.9,9,3
2,1,57,Bancomat,Car,21.1,12,3
4,1,282,Credit card,Car,172.1,51,26
4,1,535,Satispay,Bike,62.2,21,8
2,1,630,Bancomat,Scooter,161.2,57,25
